,node_id,degree_choice,happiness_level,heater_preference,age,N2,N5,E3,O3,A3,A4,C6,environmentalism,frugality,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,network_avg_weighted_degree,network_avg_friendship_weight,network_strong_friendships,network_degree_outside,network_temperature_set,network_current_day,weighted_degree,weighted_closeness,weighted_betweenness,weighted_eigenvector
0,0,18,85,cool,36,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.14782608695652175,0.4136690647482014,0.4349005363650679,0.31126707564552514,10.117647058823529,2.2051282051282053,15,-7,22,3,32.0,1.2941176470588236,0.440814393939394,0.33765488178051517
1,1,17,80,cool,52,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.10434782608695653,0.3709677419354839,0.09875740074824746,0.24563675744071706,10.117647058823529,2.2051282051282053,15,-7,22,3,24.0,1.2823834196891197,0.11647727272727273,0.3678144034586732
2,2,19,80,cold,18,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.12173913043478261,0.4136690647482014,0.1987308851839744,0.31562959985939604,10.117647058823529,2.2051282051282053,15,-7,22,3,27.0,1.4213926776740848,0.39820075757575757,0.42030999534451574
3,3,25,88,warm,60,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.06086956521739131,0.3560371517027864,0.030488661266693324,0.18240772713698233,10.117647058823529,2.2051282051282053,15,-7,22,3,10.0,0.975369458128079,0.000946969696969697,0.18182888386242743
4,4,18,85,cold,41,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.052173913043478265,0.30423280423280424,0.051767098906687015,0.0675332866304069,10.117647058823529,2.2051282051282053,15,-7,22,3,6.0,0.7872763419483102,0.0,0.04536223930287536
5,5,21,80,cold,25,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.06956521739130435,0.30666666666666664,0.07609966946351385,0.07479840716136713,10.117647058823529,2.2051282051282053,15,-7,22,3,10.0,0.8571428571428573,0.08806818181818182,0.06694971465644997
6,6,25,93,hot,43,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.06956521739130435,0.30831099195710454,0.07691329773709636,0.07530274816804503,10.117647058823529,2.2051282051282053,15,-7,22,3,7.0,0.6120556414219476,0.0,0.03604916454179827
7,7,19,96,cool,40,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.034782608695652174,0.34124629080118696,0.0,0.14566949632002593,10.117647058823529,2.2051282051282053,15,-7,22,3,10.0,1.0133060388945756,0.0,0.21006834193112983
8,8,24,95,warm,22,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.06086956521739131,0.3898305084745763,0.08700301478333514,0.2125354118757519,10.117647058823529,2.2051282051282053,15,-7,22,3,12.0,1.2445003142677564,0.10795454545454546,0.24600562972876758
9,9,25,85,warm,35,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.052173913043478265,0.34534534534534533,0.0685060477280157,0.10634338501868723,10.117647058823529,2.2051282051282053,15,-7,22,3,4.0,0.9491850431447747,0.0,0.0943856350622733
10,10,25,85,neutral,58,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.034782608695652174,0.3026315789473684,0.01840833968980422,0.0638523402283734,10.117647058823529,2.2051282051282053,15,-7,22,3,10.0,0.9705882352941176,0.058712121212121215,0.08747037200662607
11,11,19,85,cool,50,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.034782608695652174,0.2979274611398964,0.051258581235697945,0.046668988006418013,10.117647058823529,2.2051282051282053,15,-7,22,3,2.0,0.7951807228915664,0.0,0.042335879134537735
12,12,22,70,cool,53,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.043478260869565216,0.2994791666666667,0.051258581235697945,0.07401781146506023,10.117647058823529,2.2051282051282053,15,-7,22,3,2.0,0.5789473684210528,0.0,0.0325669868660708
13,13,25,100,hot,64,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.06086956521739131,0.3859060402684564,0.07027084619761971,0.20359189677943723,10.117647058823529,2.2051282051282053,15,-7,22,3,9.0,1.0366492146596857,0.0,0.196128714733199
14,14,20,95,neutral,40,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.034782608695652174,0.3050397877984085,0.03447749809305874,0.0974324725790158,10.117647058823529,2.2051282051282053,15,-7,22,3,5.0,0.9514656415185007,0.0,0.0886091243953954
15,15,23,88,hot,35,Easily-angered,Impulsive,Passive,Unemotional,Selfish,Uncooperative,Careless,Not environmentalist,Wasteful,0.043478260869565216,0.30666666666666664,0.051258581235697945,0.10111171742226427,10.117647058823529,2.2051282051282053,15,-7,22,3,5.0,0.935727788279773,0.0,0.10031363847964567
